Frame Number;Timestamp;Rigid Body Name;Relative X;Relative Y;Relative Z;Gesture
524474;4370.617;HandRight;0.1232;-0.8878;-0.0223;clap
524474;4370.617;Head;-0.1314;0.0163;0.0068;clap
524475;4370.625;HandLeft;-0.4263;-0.8673;-0.0792;clap
524475;4370.625;HandRight;0.1227;-0.8857;-0.0251;clap
524475;4370.625;Head;-0.1334;0.0168;0.0068;clap
524476;4370.633;HandLeft;-0.4282;-0.8654;-0.0814;clap
524476;4370.633;HandRight;0.1225;-0.883;-0.0282;clap
524476;4370.633;Head;-0.1345;0.0168;0.0079;clap
524477;4370.642;HandLeft;-0.4298;-0.8634;-0.0841;clap
524477;4370.642;HandRight;0.1223;-0.8801;-0.0314;clap
524477;4370.642;Head;-0.1361;0.0172;0.0084;clap
524478;4370.65;HandLeft;-0.4317;-0.861;-0.0869;clap
524478;4370.65;HandRight;0.1221;-0.8774;-0.0348;clap
524478;4370.65;Head;-0.1376;0.0175;0.0091;clap
524479;4370.658;HandLeft;-0.4333;-0.8582;-0.0902;clap
524479;4370.658;HandRight;0.1221;-0.874;-0.0383;clap
524479;4370.658;Head;-0.1392;0.0177;0.0095;clap
524480;4370.667;HandLeft;-0.4348;-0.8555;-0.0934;clap
524480;4370.667;HandRight;0.1224;-0.8704;-0.0419;clap
524480;4370.667;Head;-0.141;0.018;0.0101;clap
524481;4370.675;HandLeft;-0.4357;-0.8523;-0.0965;clap
524481;4370.675;HandRight;0.1227;-0.8669;-0.0455;clap
524481;4370.675;Head;-0.1422;0.0182;0.0105;clap
524482;4370.683;HandLeft;-0.4367;-0.8483;-0.0998;clap
524482;4370.683;HandRight;0.1229;-0.8629;-0.0494;clap
524482;4370.683;Head;-0.1436;0.0182;0.0113;clap
524483;4370.692;HandLeft;-0.4379;-0.8443;-0.1039;clap
524483;4370.692;HandRight;0.1233;-0.8585;-0.0534;clap
524483;4370.692;Head;-0.1451;0.0185;0.0117;clap
524484;4370.7;HandLeft;-0.4393;-0.8394;-0.109;clap
524484;4370.7;HandRight;0.1235;-0.8541;-0.0575;clap
524484;4370.7;Head;-0.1467;0.0186;0.0122;clap
524485;4370.708;HandLeft;-0.441;-0.8344;-0.1144;clap
524485;4370.708;HandRight;0.1236;-0.8498;-0.062;clap
524485;4370.708;Head;-0.1481;0.0187;0.0128;clap
524486;4370.717;HandLeft;-0.4427;-0.8287;-0.1204;clap
524486;4370.717;HandRight;0.1237;-0.8451;-0.0665;clap
524486;4370.717;Head;-0.1494;0.0189;0.0131;clap
524487;4370.725;HandLeft;-0.4436;-0.8229;-0.1263;clap
524487;4370.725;HandRight;0.1235;-0.8401;-0.0711;clap
524487;4370.725;Head;-0.1509;0.0189;0.0134;clap
524488;4370.733;HandLeft;-0.4444;-0.8167;-0.1322;clap
524488;4370.733;HandRight;0.1235;-0.8348;-0.0759;clap
524488;4370.733;Head;-0.1519;0.0188;0.0144;clap
524489;4370.742;HandLeft;-0.4449;-0.8101;-0.1381;clap
524489;4370.742;HandRight;0.1234;-0.8294;-0.0807;clap
524489;4370.742;Head;-0.1535;0.0191;0.0145;clap
524490;4370.75;HandLeft;-0.4452;-0.8033;-0.1441;clap
524490;4370.75;HandRight;0.1232;-0.8238;-0.0859;clap
524490;4370.75;Head;-0.1545;0.0189;0.0152;clap
524491;4370.758;HandLeft;-0.4452;-0.7964;-0.1502;clap
524491;4370.758;HandRight;0.1226;-0.8181;-0.0917;clap
524491;4370.758;Head;-0.156;0.019;0.0156;clap
524492;4370.767;HandLeft;-0.4444;-0.7893;-0.156;clap
524492;4370.767;HandRight;0.1221;-0.8122;-0.0969;clap
524492;4370.767;Head;-0.1572;0.0189;0.0162;clap
524493;4370.775;HandLeft;-0.444;-0.7814;-0.162;clap
524493;4370.775;HandRight;0.1216;-0.8059;-0.1019;clap
524493;4370.775;Head;-0.1584;0.019;0.0164;clap
524494;4370.783;HandLeft;-0.4439;-0.773;-0.1688;clap
524494;4370.783;HandRight;0.1211;-0.7993;-0.1068;clap
524494;4370.783;Head;-0.1596;0.0189;0.017;clap
524495;4370.792;HandLeft;-0.4433;-0.7644;-0.1751;clap
524495;4370.792;HandRight;0.1203;-0.7923;-0.1119;clap
524495;4370.792;Head;-0.1613;0.0193;0.0168;clap
524496;4370.8;HandLeft;-0.4424;-0.7553;-0.1813;clap
524496;4370.8;HandRight;0.1194;-0.7852;-0.117;clap
524496;4370.8;Head;-0.1621;0.0191;0.0175;clap
524497;4370.808;HandLeft;-0.4416;-0.7457;-0.1879;clap
524497;4370.808;HandRight;0.1184;-0.778;-0.1221;clap
524497;4370.808;Head;-0.1633;0.0192;0.0182;clap
524498;4370.817;HandLeft;-0.4403;-0.7363;-0.1939;clap
524498;4370.817;HandRight;0.1173;-0.7707;-0.1273;clap
524498;4370.817;Head;-0.1645;0.0192;0.0184;clap
524499;4370.825;HandLeft;-0.4386;-0.7261;-0.1995;clap
524499;4370.825;HandRight;0.1159;-0.763;-0.1324;clap
524499;4370.825;Head;-0.1655;0.0193;0.019;clap
524500;4370.833;HandLeft;-0.437;-0.7161;-0.205;clap
524500;4370.833;HandRight;0.1143;-0.7552;-0.1371;clap
524500;4370.833;Head;-0.1667;0.0194;0.0193;clap
524501;4370.842;HandLeft;-0.4353;-0.7057;-0.2104;clap
524501;4370.842;HandRight;0.1124;-0.7471;-0.1422;clap
524501;4370.842;Head;-0.1678;0.0196;0.0195;clap
524502;4370.85;HandLeft;-0.4329;-0.6948;-0.2154;clap
524502;4370.85;HandRight;0.1104;-0.739;-0.1466;clap
524502;4370.85;Head;-0.1686;0.0197;0.0199;clap
524503;4370.858;HandLeft;-0.4304;-0.6836;-0.2197;clap
524503;4370.858;HandRight;0.1088;-0.7301;-0.1515;clap
524503;4370.858;Head;-0.17;0.0197;0.0205;clap
524504;4370.867;HandLeft;-0.4276;-0.6723;-0.2235;clap
524504;4370.867;HandRight;0.1066;-0.7212;-0.1562;clap
524504;4370.867;Head;-0.1709;0.0199;0.0209;clap
524505;4370.875;HandLeft;-0.4248;-0.6602;-0.2271;clap
524505;4370.875;HandRight;0.1038;-0.7123;-0.1609;clap
524505;4370.875;Head;-0.1717;0.0201;0.0211;clap
524506;4370.883;HandLeft;-0.422;-0.6485;-0.2305;clap
524506;4370.883;HandRight;0.1008;-0.7035;-0.1653;clap
524506;4370.883;Head;-0.1731;0.0203;0.0211;clap
524507;4370.892;HandLeft;-0.4189;-0.6362;-0.2332;clap
524507;4370.892;HandRight;0.0978;-0.6944;-0.1694;clap
524507;4370.892;Head;-0.1738;0.0203;0.022;clap
524508;4370.9;HandLeft;-0.4158;-0.6241;-0.2354;clap
524508;4370.9;HandRight;0.0946;-0.6851;-0.1735;clap
524508;4370.9;Head;-0.1744;0.0205;0.0218;clap
524509;4370.908;HandLeft;-0.4125;-0.6123;-0.2376;clap
524509;4370.908;HandRight;0.0912;-0.6758;-0.177;clap
524509;4370.908;Head;-0.1756;0.0207;0.022;clap
524510;4370.917;HandLeft;-0.4087;-0.6005;-0.2394;clap
524510;4370.917;HandRight;0.0876;-0.6665;-0.1805;clap
524510;4370.917;Head;-0.1763;0.0208;0.0225;clap
524511;4370.925;HandLeft;-0.4045;-0.5879;-0.2408;clap
524511;4370.925;HandRight;0.0837;-0.6575;-0.1834;clap
524511;4370.925;Head;-0.177;0.0208;0.023;clap
524512;4370.933;HandLeft;-0.401;-0.5769;-0.242;clap
524512;4370.933;HandRight;0.0797;-0.648;-0.1862;clap
524512;4370.933;Head;-0.1777;0.0211;0.0229;clap
524513;4370.942;HandLeft;-0.3969;-0.5665;-0.2426;clap
524513;4370.942;HandRight;0.0759;-0.6385;-0.1887;clap
524513;4370.942;Head;-0.1789;0.0212;0.0234;clap
524514;4370.95;HandLeft;-0.3927;-0.5561;-0.2429;clap
524514;4370.95;HandRight;0.072;-0.629;-0.1913;clap
524514;4370.95;Head;-0.1795;0.0213;0.0239;clap
524515;4370.958;HandLeft;-0.3883;-0.546;-0.2429;clap
524515;4370.958;HandRight;0.0674;-0.6196;-0.1934;clap
524515;4370.958;Head;-0.1801;0.0214;0.0243;clap
524516;4370.967;HandLeft;-0.3837;-0.5361;-0.2425;clap
524516;4370.967;HandRight;0.0629;-0.6107;-0.1951;clap
524516;4370.967;Head;-0.1812;0.0216;0.0241;clap
524517;4370.975;HandLeft;-0.3789;-0.5265;-0.2419;clap
524517;4370.975;HandRight;0.0582;-0.6018;-0.1965;clap
524517;4370.975;Head;-0.1818;0.0218;0.0245;clap
524518;4370.983;HandLeft;-0.3738;-0.5175;-0.2411;clap
524518;4370.983;HandRight;0.0532;-0.5929;-0.198;clap
524518;4370.983;Head;-0.1822;0.0219;0.025;clap
524519;4370.992;HandLeft;-0.3687;-0.5086;-0.2402;clap
524519;4370.992;HandRight;0.048;-0.5842;-0.1992;clap
524519;4370.992;Head;-0.1826;0.0218;0.0256;clap
524520;4371.0;HandLeft;-0.3632;-0.5003;-0.239;clap
524520;4371.0;HandRight;0.0425;-0.5756;-0.2001;clap
524520;4371.0;Head;-0.1832;0.022;0.0257;clap
524521;4371.008;HandLeft;-0.3573;-0.492;-0.2373;clap
524521;4371.008;HandRight;0.0369;-0.567;-0.2008;clap
524521;4371.008;Head;-0.1838;0.0222;0.0256;clap
524522;4371.017;HandLeft;-0.3515;-0.4845;-0.2356;clap
524522;4371.017;HandRight;0.0311;-0.5587;-0.2013;clap
524522;4371.017;Head;-0.1842;0.0222;0.0263;clap
524523;4371.025;HandLeft;-0.3455;-0.4768;-0.2336;clap
524523;4371.025;HandRight;0.0251;-0.5504;-0.2016;clap
524523;4371.025;Head;-0.1847;0.0223;0.0269;clap
524524;4371.033;HandLeft;-0.3395;-0.47;-0.2316;clap
524524;4371.033;HandRight;0.0188;-0.5427;-0.2016;clap
524524;4371.033;Head;-0.1851;0.0225;0.0272;clap
524525;4371.042;HandLeft;-0.3335;-0.4637;-0.2295;clap
